Symbol,Signal,Type,EntryTime,Macro,Phase,Month,PnL_USD,ExitReason,BarsHeld
BTCUSDT,LiquiditySweepLong,LONG,2021-03-05T04:00:00.000Z,FLAT,TRAIN,2021-03,4.34,TP1,11
BTCUSDT,LiquiditySweepLong,LONG,2021-03-15T12:00:00.000Z,FLAT,TRAIN,2021-03,-2.93,STOP,3
BTCUSDT,LiquiditySweepLong,LONG,2021-03-23T08:00:00.000Z,FLAT,TRAIN,2021-03,4.38,TP1,7
BTCUSDT,LiquiditySweepLong,LONG,2021-03-25T04:00:00.000Z,FLAT,TRAIN,2021-03,-1.66,STOP,2
BTCUSDT,LiquiditySweepLong,LONG,2021-04-04T04:00:00.000Z,FLAT,TRAIN,2021-04,-2.25,STOP,19
BTCUSDT,BreakoutLong,LONG,2021-04-10T00:00:00.000Z,FLAT,TRAIN,2021-04,5.02,TP1,20
BTCUSDT,LiquiditySweepLong,LONG,2021-04-22T04:00:00.000Z,FLAT,TRAIN,2021-04,-2.97,STOP,3
BTCUSDT,LiquiditySweepLong,LONG,2021-04-30T00:00:00.000Z,FLAT,TRAIN,2021-04,4.75,TP1,3
BTCUSDT,LiquiditySweepLong,LONG,2021-05-10T20:00:00.000Z,FLAT,TRAIN,2021-05,-0.82,STOP,1
BTCUSDT,LiquiditySweepLong,LONG,2021-05-29T20:00:00.000Z,FLAT,TRAIN,2021-05,-2.86,STOP,1
BTCUSDT,LiquiditySweepLong,LONG,2021-06-08T08:00:00.000Z,FLAT,TRAIN,2021-06,-2.96,STOP,1
BTCUSDT,LiquiditySweepLong,LONG,2021-06-21T12:00:00.000Z,FLAT,TRAIN,2021-06,-3.03,STOP,2
BTCUSDT,LiquiditySweepLong,LONG,2021-06-22T12:00:00.000Z,FLAT,TRAIN,2021-06,3.62,TP1,1
BTCUSDT,LiquiditySweepLong,LONG,2021-07-01T20:00:00.000Z,FLAT,TRAIN,2021-07,4.50,TP1,14
BTCUSDT,LiquiditySweepLong,LONG,2021-07-08T12:00:00.000Z,FLAT,TRAIN,2021-07,4.73,TP1,22
BTCUSDT,LiquiditySweepLong,LONG,2021-07-13T20:00:00.000Z,FLAT,TRAIN,2021-07,-1.71,STOP,1
BTCUSDT,LiquiditySweepLong,LONG,2021-07-15T20:00:00.000Z,FLAT,TRAIN,2021-07,-2.44,STOP,3
BTCUSDT,LiquiditySweepLong,LONG,2021-07-20T12:00:00.000Z,FLAT,TRAIN,2021-07,3.91,TP1,5
BTCUSDT,EmaRetestShort,SHORT,2021-08-02T08:00:00.000Z,DOWN,TRAIN,2021-08,4.52,TP1,19
BTCUSDT,EmaRetestShort,SHORT,2021-08-12T04:00:00.000Z,DOWN,TRAIN,2021-08,-2.29,STOP,6
BTCUSDT,EmaRetestShort,SHORT,2021-08-16T12:00:00.000Z,DOWN,TRAIN,2021-08,-3.00,STOP,24
BTCUSDT,EmaRetestShort,SHORT,2021-08-24T16:00:00.000Z,DOWN,TRAIN,2021-08,-2.61,STOP,26
BTCUSDT,EmaRetestShort,SHORT,2021-08-29T00:00:00.000Z,DOWN,TRAIN,2021-08,-2.97,STOP,24
BTCUSDT,EmaRetestShort,SHORT,2021-09-09T16:00:00.000Z,DOWN,TRAIN,2021-09,3.44,TP1,7
BTCUSDT,EmaRetestLong,LONG,2021-09-12T08:00:00.000Z,UP,TRAIN,2021-09,-2.37,STOP,3
BTCUSDT,EmaRetestLong,LONG,2021-09-12T20:00:00.000Z,UP,TRAIN,2021-09,-2.54,STOP,1
BTCUSDT,LiquiditySweepLong,LONG,2021-09-13T16:00:00.000Z,UP,TRAIN,2021-09,5.75,TP1,10
BTCUSDT,EmaRetestLong,LONG,2021-09-16T12:00:00.000Z,UP,TRAIN,2021-09,-1.85,STOP,2
BTCUSDT,EmaRetestLong,LONG,2021-09-16T20:00:00.000Z,UP,TRAIN,2021-09,-1.69,STOP,5
BTCUSDT,EngulfingPullback,LONG,2021-09-18T00:00:00.000Z,UP,TRAIN,2021-09,-2.01,STOP,11
