Symbol,Signal,Type,EntryTime,ExitTime,Entry,Exit,Stop,TP1,TP2,ExitReason,PnL_USD,PnL_Percent,BarsHeld
BTCUSDT,PinBarAtResistance,SHORT,2026-01-09T02:00:00.000Z,2026-01-09T08:00:00.000Z,90992.86,89786.84,91664.15,89786.84,89161.06,TP1,1.12,1.25,6
BTCUSDT,PinBarAtResistance,SHORT,2026-01-19T20:00:00.000Z,2026-01-19T23:00:00.000Z,93095.37,92183.65,93461.37,92503.08,92183.65,TP2,0.81,0.90,3
BTCUSDT,EngulfingRally,SHORT,2026-02-01T10:00:00.000Z,2026-02-01T23:00:00.000Z,78240.59,76080.87,79379.16,76080.87,74981.44,TP1,2.41,2.68,13
BTCUSDT,PinBarAtResistance,SHORT,2026-02-02T12:00:00.000Z,2026-02-02T14:00:00.000Z,77949.52,78630.16,78590.87,76783.79,76181.44,STOP,-0.86,-0.95,2
BTCUSDT,PinBarAtResistance,SHORT,2026-02-02T16:00:00.000Z,2026-02-03T16:00:00.000Z,78595.44,77010.57,79446.86,77010.57,76198.47,TP1,1.74,1.94,24
BTCUSDT,EngulfingPullback,LONG,2026-02-07T12:00:00.000Z,2026-02-08T14:00:00.000Z,69059.49,71542.77,67766.09,71542.77,72801.66,TP1,3.16,3.52,26
BTCUSDT,PinBarAtResistance,SHORT,2026-02-25T13:00:00.000Z,2026-02-25T14:00:00.000Z,66215.50,66850.88,66817.47,65110.92,64542.08,STOP,-0.94,-1.04,1
BTCUSDT,PinBarAtResistance,SHORT,2026-03-09T04:00:00.000Z,2026-03-09T05:00:00.000Z,67096.57,67779.09,67745.22,65899.98,65284.90,STOP,-0.99,-1.10,1
BTCUSDT,EngulfingPullback,LONG,2026-03-11T04:00:00.000Z,2026-03-11T11:00:00.000Z,70166.06,69327.87,69362.55,71667.88,72436.32,STOP,-1.15,-1.27,7
BTCUSDT,PinBarAtResistance,SHORT,2026-03-11T17:00:00.000Z,2026-03-12T02:00:00.000Z,70750.60,69430.69,71463.64,69430.69,68753.03,TP1,1.61,1.79,9
BTCUSDT,PinBarAtResistance,SHORT,2026-03-12T21:00:00.000Z,2026-03-12T23:00:00.000Z,70233.42,70646.25,70610.94,69583.77,69241.38,STOP,-0.60,-0.67,2
BTCUSDT,EngulfingRally,SHORT,2026-03-20T09:00:00.000Z,2026-03-21T23:00:00.000Z,70548.51,68782.26,71184.31,69382.77,68782.26,TP2,2.18,2.42,38
BTCUSDT,PinBarAtResistance,SHORT,2026-03-23T08:00:00.000Z,2026-03-23T11:00:00.000Z,68400.04,68868.72,68834.30,67634.17,67234.13,STOP,-0.69,-0.77,3
