Symbol,Signal,Type,EntryTime,ExitTime,Entry,Exit,Stop,TP1,TP2,ExitReason,PnL_USD,PnL_Percent,BarsHeld,PassedTrend,TrendDir
BTCUSDT,EngulfingRally,SHORT,2025-08-25T00:00:00.000Z,2025-08-25T20:00:00.000Z,112588.78,110448.92,113743.19,110448.92,109350.82,TP1,1.64,1.82,20,true,DOWN
BTCUSDT,EngulfingRally,SHORT,2025-11-14T17:00:00.000Z,2025-11-17T17:00:00.000Z,95794.64,92882.27,97322.71,92882.27,91402.12,TP1,2.66,2.96,72,true,DOWN
BTCUSDT,EngulfingRally,SHORT,2025-12-07T21:00:00.000Z,2025-12-08T01:00:00.000Z,90186.20,91667.74,91621.93,87450.10,86059.50,STOP,-1.55,-1.72,4,true,DOWN
BTCUSDT,EngulfingRally,SHORT,2025-12-10T20:00:00.000Z,2025-12-14T22:00:00.000Z,92407.66,88031.77,94664.95,88031.77,85820.70,TP1,4.19,4.66,98,true,DOWN
BTCUSDT,EngulfingRally,SHORT,2026-02-01T10:00:00.000Z,2026-02-01T23:00:00.000Z,78240.59,76080.87,79379.16,76080.87,74981.44,TP1,2.41,2.68,13,true,DOWN
BTCUSDT,EngulfingPullback,LONG,2026-02-07T12:00:00.000Z,2026-02-08T14:00:00.000Z,69059.49,71542.77,67766.09,71542.77,72801.66,TP1,3.16,3.52,26,false,DOWN
BTCUSDT,EngulfingPullback,LONG,2026-03-11T04:00:00.000Z,2026-03-11T11:00:00.000Z,70166.06,69327.87,69362.55,71667.88,72436.32,STOP,-1.15,-1.27,7,false,DOWN
BTCUSDT,EngulfingRally,SHORT,2026-03-20T09:00:00.000Z,2026-03-21T23:00:00.000Z,70548.51,68782.26,71184.31,69382.77,68782.26,TP2,2.18,2.42,38,false,UP
BTCUSDT,EngulfingRally,SHORT,2026-03-30T13:00:00.000Z,2026-03-31T01:00:00.000Z,67495.76,68340.14,68305.99,65976.58,65200.11,STOP,-1.20,-1.33,12,true,DOWN
ETHUSDT,EngulfingPullback,LONG,2025-07-21T10:00:00.000Z,2025-07-21T16:00:00.000Z,3812.76,3758.94,3760.82,3910.90,3960.93,STOP,-1.34,-1.49,6,false,NEUTRAL
ETHUSDT,EngulfingRally,SHORT,2025-08-20T18:00:00.000Z,2025-08-20T20:00:00.000Z,4289.52,4356.24,4354.06,4166.89,4104.50,STOP,-1.47,-1.64,2,false,UP
ETHUSDT,EngulfingPullback,LONG,2025-08-27T20:00:00.000Z,2025-08-27T22:00:00.000Z,4597.00,4500.15,4502.40,4779.31,4871.61,STOP,-1.97,-2.19,2,true,UP
ETHUSDT,EngulfingPullback,LONG,2025-09-14T05:00:00.000Z,2025-09-14T07:00:00.000Z,4678.42,4646.83,4649.15,4729.93,4756.86,STOP,-0.68,-0.76,2,true,UP
ETHUSDT,EngulfingRally,SHORT,2025-09-26T14:00:00.000Z,2025-09-26T16:00:00.000Z,3928.95,3988.44,3986.45,3819.87,3764.34,STOP,-1.43,-1.59,2,true,DOWN
