Symbol,Signal,Type,EntryTime,Macro,Phase,PnL_USD,ExitReason
BTCUSDT,RangeBreakoutShort,SHORT,2025-07-01T19:00:00.000Z,FLAT,TRAIN,-1.87,STOP
BTCUSDT,RangeBreakoutLong,LONG,2025-07-02T08:00:00.000Z,FLAT,TRAIN,3.34,TP1
BTCUSDT,RangeBreakoutLong,LONG,2025-07-09T19:00:00.000Z,FLAT,TRAIN,5.46,TP1
BTCUSDT,RsiReversionShort,SHORT,2025-07-11T10:00:00.000Z,FLAT,TRAIN,-1.11,STOP
BTCUSDT,RsiReversionShort,SHORT,2025-07-13T15:00:00.000Z,FLAT,TRAIN,-0.97,STOP
BTCUSDT,RangeBreakoutLong,LONG,2025-07-14T02:00:00.000Z,FLAT,TRAIN,2.35,TP1
BTCUSDT,RsiReversionShort,SHORT,2025-07-14T08:00:00.000Z,FLAT,TRAIN,1.37,TP1
BTCUSDT,RangeBreakoutShort,SHORT,2025-07-15T01:00:00.000Z,FLAT,TRAIN,-1.88,STOP
BTCUSDT,RangeBreakoutLong,LONG,2025-07-17T21:00:00.000Z,FLAT,TRAIN,-1.79,STOP
BTCUSDT,RangeBreakoutLong,LONG,2025-07-21T06:00:00.000Z,FLAT,TRAIN,-2.14,STOP
BTCUSDT,RangeBreakoutLong,LONG,2025-07-22T18:00:00.000Z,FLAT,TRAIN,-1.98,STOP
BTCUSDT,RangeBreakoutShort,SHORT,2025-07-25T02:00:00.000Z,FLAT,TRAIN,-2.23,STOP
BTCUSDT,RangeBreakoutLong,LONG,2025-07-27T16:00:00.000Z,FLAT,TRAIN,-1.25,STOP
BTCUSDT,RangeBreakoutShort,SHORT,2025-07-28T17:00:00.000Z,FLAT,TRAIN,2.43,TP1
BTCUSDT,RsiReversionLong,LONG,2025-08-01T02:00:00.000Z,FLAT,TRAIN,-1.49,STOP
BTCUSDT,RsiReversionLong,LONG,2025-08-01T09:00:00.000Z,FLAT,TRAIN,-1.07,STOP
BTCUSDT,RangeBreakoutShort,SHORT,2025-08-01T18:00:00.000Z,FLAT,TRAIN,-2.07,STOP
BTCUSDT,RangeBreakoutLong,LONG,2025-08-07T10:00:00.000Z,FLAT,TRAIN,3.44,TP1
BTCUSDT,RangeBreakoutShort,SHORT,2025-08-29T07:00:00.000Z,FLAT,TRAIN,-1.84,STOP
BTCUSDT,RangeBreakoutShort,SHORT,2025-09-04T06:00:00.000Z,FLAT,TRAIN,-1.72,STOP
BTCUSDT,RangeBreakoutLong,LONG,2025-09-05T07:00:00.000Z,FLAT,TRAIN,-1.86,STOP
BTCUSDT,RangeBreakoutLong,LONG,2025-09-08T09:00:00.000Z,FLAT,TRAIN,2.16,TP1
BTCUSDT,RangeBreakoutShort,SHORT,2025-09-19T09:00:00.000Z,FLAT,TRAIN,1.19,TP1
BTCUSDT,RangeBreakoutShort,SHORT,2025-09-22T00:00:00.000Z,FLAT,TRAIN,2.04,TP1
