Symbol,Signal,Type,EntryTime,Macro,Phase,Month,PnL_USD,ExitReason,BarsHeld
BTCUSDT,RangeBreakoutLong,LONG,2025-07-02T08:00:00.000Z,FLAT,TRAIN,2025-07,3.34,TP1,179
BTCUSDT,RangeBreakoutLong,LONG,2025-07-09T19:00:00.000Z,FLAT,TRAIN,2025-07,5.46,TP1,38
BTCUSDT,RsiReversionShort,SHORT,2025-07-11T10:00:00.000Z,FLAT,TRAIN,2025-07,-1.11,STOP,52
BTCUSDT,RsiReversionShort,SHORT,2025-07-13T15:00:00.000Z,FLAT,TRAIN,2025-07,-0.97,STOP,11
BTCUSDT,RangeBreakoutLong,LONG,2025-07-14T02:00:00.000Z,FLAT,TRAIN,2025-07,2.35,TP1,5
BTCUSDT,RsiReversionShort,SHORT,2025-07-14T08:00:00.000Z,FLAT,TRAIN,2025-07,1.37,TP1,7
BTCUSDT,RangeBreakoutShort,SHORT,2025-07-15T01:00:00.000Z,FLAT,TRAIN,2025-07,-1.88,STOP,68
BTCUSDT,RangeBreakoutLong,LONG,2025-07-17T21:00:00.000Z,FLAT,TRAIN,2025-07,-1.79,STOP,17
BTCUSDT,RangeBreakoutLong,LONG,2025-07-21T06:00:00.000Z,FLAT,TRAIN,2025-07,-2.14,STOP,19
BTCUSDT,RangeBreakoutLong,LONG,2025-07-22T18:00:00.000Z,FLAT,TRAIN,2025-07,-1.98,STOP,20
BTCUSDT,RangeBreakoutShort,SHORT,2025-07-25T02:00:00.000Z,FLAT,TRAIN,2025-07,-2.23,STOP,62
BTCUSDT,RangeBreakoutLong,LONG,2025-07-27T16:00:00.000Z,FLAT,TRAIN,2025-07,-1.25,STOP,25
BTCUSDT,RangeBreakoutShort,SHORT,2025-07-28T17:00:00.000Z,FLAT,TRAIN,2025-07,2.43,TP1,79
BTCUSDT,RsiReversionLong,LONG,2025-08-01T02:00:00.000Z,FLAT,TRAIN,2025-08,-1.49,STOP,6
BTCUSDT,RsiReversionLong,LONG,2025-08-01T09:00:00.000Z,FLAT,TRAIN,2025-08,-1.07,STOP,9
BTCUSDT,RangeBreakoutShort,SHORT,2025-08-01T18:00:00.000Z,FLAT,TRAIN,2025-08,-2.07,STOP,136
BTCUSDT,RangeBreakoutLong,LONG,2025-08-07T10:00:00.000Z,FLAT,TRAIN,2025-08,3.44,TP1,88
BTCUSDT,RangeBreakoutShort,SHORT,2025-08-29T07:00:00.000Z,FLAT,TRAIN,2025-08,-1.84,STOP,127
BTCUSDT,RangeBreakoutShort,SHORT,2025-09-04T06:00:00.000Z,FLAT,TRAIN,2025-09,-1.72,STOP,25
BTCUSDT,RangeBreakoutLong,LONG,2025-09-05T07:00:00.000Z,FLAT,TRAIN,2025-09,-1.86,STOP,7
BTCUSDT,RangeBreakoutLong,LONG,2025-09-08T09:00:00.000Z,FLAT,TRAIN,2025-09,2.16,TP1,85
BTCUSDT,RangeBreakoutShort,SHORT,2025-09-19T09:00:00.000Z,FLAT,TRAIN,2025-09,1.19,TP1,63
BTCUSDT,RangeBreakoutShort,SHORT,2025-09-22T00:00:00.000Z,FLAT,TRAIN,2025-09,2.04,TP1,27
BTCUSDT,RangeBreakoutShort,SHORT,2025-10-10T15:00:00.000Z,FLAT,TRAIN,2025-10,8.45,TP2,6
BTCUSDT,RangeBreakoutLong,LONG,2025-10-23T17:00:00.000Z,FLAT,TRAIN,2025-10,-2.40,STOP,155
BTCUSDT,RangeBreakoutShort,SHORT,2025-11-03T02:00:00.000Z,FLAT,TRAIN,2025-11,3.08,TP1,27
BTCUSDT,RangeBreakoutShort,SHORT,2025-11-12T15:00:00.000Z,FLAT,TRAIN,2025-11,5.82,TP1,45
BTCUSDT,RsiReversionShort,SHORT,2025-11-26T19:00:00.000Z,FLAT,TRAIN,2025-11,-0.90,STOP,6
BTCUSDT,RangeBreakoutLong,LONG,2025-11-27T01:00:00.000Z,FLAT,TRAIN,2025-11,-1.95,STOP,95
BTCUSDT,RsiReversionLong,LONG,2025-12-01T01:00:00.000Z,FLAT,TRAIN,2025-12,-0.67,STOP,1
BTCUSDT,RsiReversionLong,LONG,2025-12-01T05:00:00.000Z,FLAT,TRAIN,2025-12,-0.85,STOP,7
BTCUSDT,RangeBreakoutShort,SHORT,2025-12-05T13:00:00.000Z,FLAT,TRAIN,2025-12,-2.13,STOP,98
BTCUSDT,RangeBreakoutShort,SHORT,2025-12-11T02:00:00.000Z,FLAT,TRAIN,2025-12,-3.05,STOP,19
