Symbol,Signal,Type,EntryTime,Macro,Phase,Month,PnL_USD,ExitReason,BarsHeld
BTCUSDT,EmaRetestShort,SHORT,2025-08-21T04:00:00.000Z,DOWN,TRAIN,2025-08,1.40,TP1,32
BTCUSDT,EmaRetestShort,SHORT,2025-08-23T03:00:00.000Z,DOWN,TRAIN,2025-08,2.72,TP2,40
BTCUSDT,EmaRetestShort,SHORT,2025-08-24T19:00:00.000Z,DOWN,TRAIN,2025-08,3.96,TP1,121
BTCUSDT,EmaRetestShort,SHORT,2025-08-30T04:00:00.000Z,DOWN,TRAIN,2025-08,-0.56,STOP,11
BTCUSDT,EmaRetestShort,SHORT,2025-08-30T20:00:00.000Z,DOWN,TRAIN,2025-08,-0.55,STOP,4
BTCUSDT,EmaRetestShort,SHORT,2025-08-31T04:00:00.000Z,DOWN,TRAIN,2025-08,-0.81,STOP,28
BTCUSDT,EmaRetestShort,SHORT,2025-09-01T10:00:00.000Z,DOWN,TRAIN,2025-09,-1.46,STOP,16
BTCUSDT,EmaRetestShort,SHORT,2025-09-02T12:00:00.000Z,DOWN,TRAIN,2025-09,-1.55,STOP,1
BTCUSDT,EmaRetestShort,SHORT,2025-09-03T05:00:00.000Z,DOWN,TRAIN,2025-09,-0.72,STOP,5
BTCUSDT,EmaRetestShort,SHORT,2025-09-12T11:00:00.000Z,DOWN,TRAIN,2025-09,-0.53,STOP,3
BTCUSDT,EmaRetestShort,SHORT,2025-09-25T12:00:00.000Z,DOWN,TRAIN,2025-09,1.25,TP1,5
BTCUSDT,EmaRetestShort,SHORT,2025-09-25T17:00:00.000Z,DOWN,TRAIN,2025-09,-2.70,STOP,77
BTCUSDT,EmaRetestShort,SHORT,2025-09-30T07:00:00.000Z,DOWN,TRAIN,2025-09,-0.65,STOP,12
BTCUSDT,EmaRetestShort,SHORT,2025-10-15T01:00:00.000Z,DOWN,TRAIN,2025-10,-0.64,STOP,1
BTCUSDT,EmaRetestShort,SHORT,2025-10-15T03:00:00.000Z,DOWN,TRAIN,2025-10,2.80,TP1,36
BTCUSDT,EmaRetestShort,SHORT,2025-10-16T15:00:00.000Z,DOWN,TRAIN,2025-10,-2.73,STOP,89
BTCUSDT,EmaRetestShort,SHORT,2025-10-20T17:00:00.000Z,DOWN,TRAIN,2025-10,1.91,TP1,11
BTCUSDT,EmaRetestShort,SHORT,2025-10-21T13:00:00.000Z,DOWN,TRAIN,2025-10,-1.22,STOP,1
BTCUSDT,EmaRetestShort,SHORT,2025-10-21T22:00:00.000Z,DOWN,TRAIN,2025-10,-2.03,STOP,54
BTCUSDT,EmaRetestShort,SHORT,2025-10-27T19:00:00.000Z,DOWN,TRAIN,2025-10,-1.01,STOP,19
BTCUSDT,EmaRetestShort,SHORT,2025-10-28T19:00:00.000Z,DOWN,TRAIN,2025-10,2.90,TP1,23
BTCUSDT,EmaRetestShort,SHORT,2025-10-29T18:00:00.000Z,DOWN,TRAIN,2025-10,2.24,TP1,19
BTCUSDT,EmaRetestShort,SHORT,2025-10-31T16:00:00.000Z,DOWN,TRAIN,2025-10,4.13,TP1,89
BTCUSDT,EmaRetestShort,SHORT,2025-11-04T15:00:00.000Z,DOWN,TRAIN,2025-11,3.12,TP1,6
BTCUSDT,EmaRetestShort,SHORT,2025-11-05T04:00:00.000Z,DOWN,TRAIN,2025-11,-0.58,STOP,8
BTCUSDT,EmaRetestShort,SHORT,2025-11-06T05:00:00.000Z,DOWN,TRAIN,2025-11,2.09,TP1,11
BTCUSDT,EmaRetestShort,SHORT,2025-11-06T16:00:00.000Z,DOWN,TRAIN,2025-11,-2.19,STOP,27
BTCUSDT,EmaRetestShort,SHORT,2025-11-08T05:00:00.000Z,DOWN,TRAIN,2025-11,-0.81,STOP,33
