Symbol,Signal,Type,EntryTime,ExitTime,Entry,Exit,Stop,TP1,TP2,ExitReason,PnL_USD,PnL_Percent,BarsHeld
BTCUSDT,OversoldBounce,LONG,2026-01-06T17:00:00.000Z,2026-01-08T07:00:00.000Z,91635.03,89712.58,89757.46,93878.97,96168.70,STOP,-1.96,-2.18,38
BTCUSDT,BullishPullback,LONG,2026-01-08T07:00:00.000Z,2026-01-13T14:00:00.000Z,90593.29,92811.72,88849.14,92811.72,95075.42,TP1,2.13,2.37,127
BTCUSDT,BullishPullback,LONG,2026-01-16T15:00:00.000Z,2026-01-20T05:00:00.000Z,94633.27,91557.74,91603.54,96950.63,99315.28,STOP,-3.00,-3.33,86
BTCUSDT,OversoldBounce,LONG,2026-01-20T05:00:00.000Z,2026-01-20T17:00:00.000Z,91669.99,89746.80,89791.70,93914.78,96205.39,STOP,-1.96,-2.18,12
BTCUSDT,OversoldBounce,LONG,2026-01-20T17:00:00.000Z,2026-01-20T22:00:00.000Z,89820.35,87935.96,87979.95,92019.85,94264.23,STOP,-1.96,-2.18,5
BTCUSDT,OversoldBounce,LONG,2026-01-20T22:00:00.000Z,2026-01-23T17:00:00.000Z,88553.43,90721.91,86739.00,90721.91,92934.64,TP1,2.13,2.37,67
BTCUSDT,BearishRally,SHORT,2026-01-23T17:00:00.000Z,2026-01-25T08:00:00.000Z,90554.70,88335.00,93286.10,88335.00,86070.00,TP1,2.13,2.37,39
BTCUSDT,OversoldBounce,LONG,2026-01-25T08:00:00.000Z,2026-01-25T19:00:00.000Z,88344.16,86490.74,86534.01,90507.51,92715.01,STOP,-1.96,-2.18,11
BTCUSDT,OversoldBounce,LONG,2026-01-25T19:00:00.000Z,2026-01-26T15:00:00.000Z,86538.41,88657.54,84765.26,88657.54,90819.92,TP1,2.13,2.37,20
BTCUSDT,BearishRally,SHORT,2026-01-27T02:00:00.000Z,2026-01-29T15:00:00.000Z,88787.18,84390.02,91583.94,86610.81,84390.02,TP2,4.39,4.87,61
BTCUSDT,OversoldBounce,LONG,2026-01-29T15:00:00.000Z,2026-01-30T01:00:00.000Z,84976.49,83193.72,83235.34,87057.37,89180.72,STOP,-1.96,-2.18,10
BTCUSDT,OversoldBounce,LONG,2026-01-30T01:00:00.000Z,2026-01-30T19:00:00.000Z,82509.25,84529.72,80818.66,84529.72,86591.42,TP1,2.13,2.37,18
BTCUSDT,OversoldBounce,LONG,2026-01-31T14:00:00.000Z,2026-01-31T17:00:00.000Z,81520.73,79810.47,79850.39,83516.99,85553.99,STOP,-1.96,-2.18,3
BTCUSDT,OversoldBounce,LONG,2026-01-31T17:00:00.000Z,2026-01-31T18:00:00.000Z,78933.37,77277.38,77316.04,80866.27,82838.62,STOP,-1.96,-2.18,1
BTCUSDT,OversoldBounce,LONG,2026-01-31T18:00:00.000Z,2026-02-01T21:00:00.000Z,78077.40,76439.37,76477.61,79989.34,81940.30,STOP,-1.96,-2.18,27
BTCUSDT,OversoldBounce,LONG,2026-02-01T21:00:00.000Z,2026-02-02T03:00:00.000Z,76564.29,74958.01,74995.51,78439.18,80352.33,STOP,-1.96,-2.18,6
BTCUSDT,OversoldBounce,LONG,2026-02-02T05:00:00.000Z,2026-02-02T09:00:00.000Z,75539.85,77389.65,73992.06,77389.65,79277.21,TP1,2.13,2.37,4
BTCUSDT,OversoldBounce,LONG,2026-02-03T18:00:00.000Z,2026-02-03T19:00:00.000Z,73175.70,74967.61,71676.35,74967.61,76796.09,TP1,2.13,2.37,1
BTCUSDT,OversoldBounce,LONG,2026-02-04T17:00:00.000Z,2026-02-05T04:00:00.000Z,72612.37,71089.00,71124.56,74390.48,76204.88,STOP,-1.96,-2.18,11
BTCUSDT,OversoldBounce,LONG,2026-02-05T04:00:00.000Z,2026-02-05T12:00:00.000Z,70923.52,69435.58,69470.32,72660.28,74432.48,STOP,-1.96,-2.18,8
BTCUSDT,OversoldBounce,LONG,2026-02-05T12:00:00.000Z,2026-02-05T15:00:00.000Z,69598.35,68138.21,68172.30,71302.66,73041.75,STOP,-1.96,-2.18,3
BTCUSDT,OversoldBounce,LONG,2026-02-05T15:00:00.000Z,2026-02-05T18:00:00.000Z,67522.81,66106.22,66139.29,69176.30,70863.52,STOP,-1.96,-2.18,3
BTCUSDT,OversoldBounce,LONG,2026-02-05T18:00:00.000Z,2026-02-05T20:00:00.000Z,66380.17,64987.55,65020.06,68005.67,69664.35,STOP,-1.96,-2.18,2
BTCUSDT,OversoldBounce,LONG,2026-02-05T20:00:00.000Z,2026-02-06T00:00:00.000Z,63807.56,62468.91,62500.16,65370.06,66964.45,STOP,-1.96,-2.18,4
BTCUSDT,OversoldBounce,LONG,2026-02-06T00:00:00.000Z,2026-02-06T01:00:00.000Z,63541.14,65097.12,62239.20,65097.12,66684.86,TP1,2.13,2.37,1
BTCUSDT,OversoldBounce,LONG,2026-02-11T06:00:00.000Z,2026-02-11T14:00:00.000Z,66853.73,68490.83,65483.91,68490.83,70161.34,TP1,2.13,2.37,8
BTCUSDT,BearishRally,SHORT,2026-02-13T16:00:00.000Z,2026-02-17T14:00:00.000Z,68920.21,67230.82,71030.30,67230.82,65506.96,TP1,2.13,2.37,94
BTCUSDT,BearishRally,SHORT,2026-02-18T07:00:00.000Z,2026-02-18T18:00:00.000Z,68072.39,66403.78,70312.26,66403.78,64701.12,TP1,2.13,2.37,11
BTCUSDT,BearishRally,SHORT,2026-02-20T03:00:00.000Z,2026-02-23T01:00:00.000Z,67332.57,65682.09,69578.55,65682.09,63997.94,TP1,2.13,2.37,70
